연번,지역,검진기관명,주 소,백신 여부,백신항목
1,수도권,한빛영상의학과의원,경기도 고양시 일산동구 중앙로 1068 (백석동),,
2,수도권,남천병원,경기도 군포시 고산로 575 (산본동),,
3,수도권,부천우리병원,경기도 부천시 소사로 726 (원종동),가능,"대상포진, 파상풍 등"
4,수도권,메디피움 판교,경기도 성남시 분당구 분당내곡로 155 (삼평동),,
5,수도권,필립메디컬센터 (분당),경기도 성남시 분당구 황새울로311번길 10 (서현동),,
6,수도권,아폴로헬스케어,경기도 성남시 수정구 창업로 18 (시흥동),가능,"대상포진, 폐렴 등"
7,수도권,한국의학연구소KMI (수원),경기도 수원시 권선구 동수원로 232 (권선동),,
8,수도권,한국건강관리협회 (경기지부),경기도 수원시 장안구 경수대로 857 (조원동),가능,파상풍
9,수도권,수원성모척관병원,경기도 수원시 장안구 수성로 330 (영화동),,
10,수도권,시흥센트럴병원,경기도 시흥시 공단1대로 237 (정왕동),,
11,수도권,연세미래체크업,경기도 용인시 기흥구 중부대로 242 (영덕동),가능,파상풍 등
12,수도권,서울프라임내과,경기도 의정부시 천보로 64 (민락동),,
13,수도권,이천금강메디컬,경기도 이천시 이섭대천로 1272 (창전동),가능,B형간염 등
14,수도권,메디케어의원(평택),경기도 평택시 안중읍 안현로서8길 57 (현화리),,
15,수도권,메디피움 동탄,경기도 화성시 동탄대로 557-9 (오산동),,
16,수도권,광동병원,서울특별시 강남구 봉은사로 612 (삼성동),가능,"대상포진, 폐렴구균"
17,수도권,하나로 리더스헬스케어,서울특별시 강남구 언주로 508 (역삼동),가능,폐렴구균
18,수도권,강남지인병원,서울특별시 강남구 언주로 631 (논현동),가능,"대상포진, 폐렴구균"
19,수도권,하나로의료재단 (강남센터),서울특별시 강남구 테헤란로 326 (역삼동),,
20,수도권,한국의학연구소KMI (강남),서울특별시 강남구 테헤란로 411 (삼성동),,
21,수도권,미래의료재단,서울특별시 강남구 테헤란로 513 (삼성동),가능,"폐구균, 파상풍"
22,수도권,서울미즈병원,서울특별시 강동구 천호대로 1041 (천호동),,
23,수도권,부민병원[서울],서울특별시 강서구 공항대로 389 (등촌동),,
24,수도권,서울센트럴메디케어,서울특별시 강서구 마곡중앙8로5길 11 (마곡동),가능,"대상포진, 폐렴"
25,수도권,한국건강관리협회 (서울서부지부),서울특별시 강서구 화곡로 335 (화곡동),가능,파상풍
26,수도권,올유메디컬의원,서울특별시 광진구 능동로 295 (군자동),가능,"대상포진, 폐렴구균 등"
27,수도권,소중한메디케어,서울특별시 금천구 디지털로9길 68 (가산동),가능,"대상포진, 폐렴구균 등"
28,수도권,한국건강관리협회 (서울동부지부),서울특별시 동대문구 왕산로 78 (용두동),가능,파상풍
29,수도권,서울메디케어,서울특별시 마포구 마포대로 156 (공덕동),가능,파상풍
30,수도권,녹십자아이메드 강남,서울특별시 서초구 서초대로38길 12 (서초동),,
31,수도권,서울척병원,서울특별시 성북구 도봉로1 (길음동),가능,"대상포진, 폐렴"
32,수도권,다온헬스케어의원,서울특별시 송파구 송파대로 111 (문정동),가능,"파상풍, 독감"
33,수도권,한국건강관리협회 (서울강남지부),서울특별시 송파구 올림픽로 269 (신천동),가능,파상풍
34,수도권,한국의학연구소KMI (여의도),서울특별시 영등포구 국제금융로2길 24 (여의도동),,
35,수도권,필립메디컬센터 (서울),서울특별시 영등포구 영등포로 124 (당산동2가),,
36,수도권,라이프케어내과(여의도),서울특별시 영등포구 의사당대로 97 (여의도동),가능,"대상포진, 폐렴구균"
37,수도권,한국의학연구소KMI (광화문),서울특별시 종로구 세종대로 149 (세종로),,
38,수도권,하나로의료재단 (종로센터),서울특별시 종로구 종로 33 (청진동),,
39,수도권,녹십자아이메드 강북,서울특별시 중구 을지로 170 (을지로4가),,
40,수도권,한국건강관리협회 (인천지부),인천광역시 남구 독배로 500 (숭의동),가능,파상풍
41,수도권,아인의료재단 아인병원,인천광역시 미추홀구 경원대로 766 (주안동),,
42,수도권,뉴성민병원,인천광역시 서구 신석로 70 (석남동),가능,"대상포진, 폐렴구균"
43,수도권,인천나은병원,인천광역시 서구 신진말로 28번길 43 (가좌동),,
44,수도권,검단탑종합병원,인천광역시 서구 청마로19번길 5 (당하동),,
45,수도권,인천나사렛국제병원,인천광역시 연수구 먼우금로 98 (동춘동),,
46,수도권,송도지안검진센터,인천광역시 연수구 센트럴로 263 (송도동),,
47,수도권,진헬스검진센터,인천광역시 연수구 인천광역시타워대로132번길 34 (송도동),,
48,경남권,진주고려병원,경상남도 진주시 동진로 2 (칠암동),,
49,경남권,한국건강관리협회 (경남지부),경상남도 창원시 마산회원구 삼호로 107 (양덕동),가능,파상풍
50,경남권,창원 세종내과영상의학과의원,경상남도 창원시 의창구 원이대로285번길 6 (봉곡동),,
51,경남권,한마음창원병원,경남남도 창원시 의창구 용동로57번길 8,,
52,경남권,부산미래IFC 검진센터,부산광역시 남구 전포대로 133 (문현동),가능,"파상풍, 폐구균"
53,경남권,한국의학연구소KMI (부산),부산광역시 동구 조방로 14 (범일동),,
54,경남권,한국건강관리협회 (부산동부지부),부산광역시 동래구 충렬대로 145 (온천동),가능,파상풍
55,경남권,부산 온종합병원,부산광역시 부산진구 가야대로 767 (부전동),,
56,경남권,부산제2항운병원,부산광역시 부산진구 범일로 186 (범천동),가능,"대상포진, 폐렴구균"
57,경남권,부산이샘병원,부산광역시 부산진구 황령대로 12 (범천동),가능,파상풍
58,경남권,한국건강관리협회 (부산서부지부),부산광역시 사상구 학감대로 230 (감전동),가능,파상풍
59,경남권,울산좋은삼정병원,울산광역시 남구 북부순환도로 51 (무거동),,
60,경남권,한국건강관리협회 (울산지부),울산광역시 중구 번영로 360 (학산동),가능,파상풍
61,경남권,울산세민병원,울산광역시 중구 학성로 184 (학성동),,
62,충남권,대전둔산병원,대전광역시 서구 계룡로 568 (괴정동),가능,폐렴
63,충남권,한국건강관리협회 (대전충남지부),대전광역시 서구 계룡로 611 (탄방동),가능,파상풍
64,충남권,대전온누리수의원,대전광역시 서구 동서대로 1147 (가장동),,
65,충남권,SG삼성조은내과 (아산탕정점),충청남도 아산시 탕정면 한들물빛도시로 88 (매곡리),,
66,충남권,예산명지병원,충청남도 예산군 예산읍 신례원로 26 (관작리),,
67,충남권,천안우리병원,충청남도 천안시 동남구 남부대로 350 (청당동),,
68,충남권,천안하나메디칼,충청남도 천안시 서북구 검은들3길 46 (불당동),,
69,충남권,SG삼성조은병원,충청남도 천안시 서북구 불당25로 200 (불당동),,
70,경북권,안동성소병원,경상북도 안동시 서동문로 99 (금곡동),,
71,경북권,포항성모병원,경상북도 포항시 남구 대잠동길 17 (대잠동),,
72,경북권,포항좋은선린병원,경상북도 포항시 북구 대신로 43 (대신동),,
73,경북권,한국건강관리협회 (대구지부),대구광역시 동구 장동로16 (신천동),가능,파상풍
74,경북권,한국건강관리협회 (경북/대구북부지부),대구광역시 북구 팔달로 23 (노원동3가),가능,파상풍
75,경북권,대경영상의학과의원,대구광역시 수성구 달구벌대로 2435 (범어동),,
76,경북권,한국의학연구소KMI (대구),대구광역시 중구 국채보상로 611 (문화동),,
77,전남권,광주KS병원,광주광역시 광산구 왕버들로 220 (수완동),,
78,전남권,한국건강관리협회 (광주전남지부),광주광역시 서구 대남대로 432 (농성동),가능,파상풍
79,전남권,한국의학연구소KMI (광주),광주광역시 서구 상무중앙로 58 (치평동),,
80,전남권,광양서울병원,전라남도 광양시 진등길 93 (마동),,
81,전남권,목포기독병원,전라남도 목포시 백년대로 303 (상동),,
82,전남권,목포한국병원,전라남도 목포시 영산로 483 (상동),,
83,전남권,목포중앙병원,전라남도 목포시 영산로 623 (석현동),,
84,전남권,순천한국병원,전라남도 순천시 우명길 42 (연향동),,
85,충북권,메디캐치의원(세종),세종특별자치시 마음로 272-17 (고운동),,
86,충북권,세종365의원,세종특별자치시 한누리대로 1958 (소담동),가능,"대상포진, 폐렴"
87,충북권,청주효성병원,충청북도 청주시 상당구 단재로 44 (금천동),가능,"대상포진, 폐렴구균"
88,충북권,청주씨앤씨푸른병원,충청북도 청주시 흥덕구 2순환로 1234 (강서동),,
89,충북권,한국건강관리협회 (충북세종지부)청주,충청북도 청주시 흥덕구 직지대로 631 (봉명동),가능,파상풍
90,전북권,남원의료원,전라북도 남원시 충정로 365 (고죽동),,
91,전북권,원광대학교병원,전라북도 익산시 무왕로 895 (신동),,
92,전북권,익산병원,전라북도 익산시 무왕로 969 (신동),,
93,전북권,한국건강관리협회 (전북지부),전라북도 전주시 덕진구 사평로 40 (덕진동1가),가능,파상풍
94,전북권,우석대의료원,전라북도 전주시 완산구 어은로 46 (중화산동2가),,
95,강원권,강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),,
96,강원권,강릉우리들내과,강원특별자치도 강릉시 경강로 2079 (임당동),,
97,강원권,강릉아나병원,강원특별자치도 강릉시 용지로 129 (옥천동),,
98,강원권,원주성지병원,강원특별자치도 원주시 원일로 22 (인동),,
99,강원권,한국건강관리협회 (강원지부),강원특별자치도 춘천시 남춘로 50 (효자동),가능,파상풍
100,제주권,한국건강관리협회 (제주지부),제주특별자치도 제주시 연북로 111 (연동),가능,파상풍
